section_id,word_id,translation
basics,mum,mama
basics,house,inzu
basics,tree,igiti
basics,ball,umupira
basics,book,igitabu
basics,sun,izuba
basics,shoe,ikirato
basics,lamp,itara
basics,car,umuduga
basics,plate,isahani
basics,dad,data
basics,door,umuryango
basics,window,idirisha
objects,bike,ikinga
objects,table,imeza
objects,bed,igitanda
objects,pen,ikaramu
objects,clock,isaha
objects,bottle,icupa
objects,glass,ikirahuri
objects,spoon,ikiyiko
objects,mirror,ikiyo
objects,umbrella,umutaka
objects,phone,itelefone
objects,cup,igikombe
objects,backpack,isakoshi
objects,chair,intebe
objects,key,urupfunguruzo
animals,cow,inka
animals,cat,akayabu
animals,dog,imbwa
animals,fish,ifi
animals,horse,ifarasi
animals,frog,igikere
animals,rabbit,urukwavu
animals,duck,imbata
animals,lion,intare
animals,elephant,inzovu
animals,goat,impene
animals,sheep,intama
animals,chicken,inkoko
animals,bird,inyoni
animals,mouse,imbeba
fruits,figs,amufe
fruits,passion-fruit,ibungo
fruits,pineapple,inanasi
fruits,lemon,indimu
fruits,berries,inkere
fruits,physalis,intumbaswa
fruits,papaya,ipapayi
fruits,guava,ipera
fruits,avocado,ivoka
fruits,peanut,ibiyoba
fruits,orange,umucungwe
fruits,banana,umuhwi
fruits,sugar-cane,umusigati
fruits,mango,umwembe
vegetables,beans,ibiharage
vegetables,mushroom,ikizinu
vegetables,green-banana,igitoke
vegetables,onion,igitunguru
vegetables,garlic,igitunguru sumu
vegetables,carrot,ikaroti
vegetables,corn,ikigori
vegetables,sweet-potato,ikijumbu
vegetables,potato,ikiraya
vegetables,green-beans,imikerera
vegetables,wheat,ingano
vegetables,eggplant,urutore
vegetables,chilli,ipiripiri
vegetables,cabbage,ishu
vegetables,soy,isoya
vegetables,tomato,itomati
vegetables,peas,ubushaza
vegetables,rice,umuceri
vegetables,pumpkin,umwungu
numbers,zero,ubusa
numbers,one,rimwe
numbers,two,kabiri
numbers,three,gatatu
numbers,four,kane
numbers,five,gatanu
numbers,six,gatandatu
numbers,seven,indwi
numbers,eight,umunani
numbers,nine,icenda
numbers,ten,icumi
counting,one-egg,igi rimwe
counting,one-cow,inka imwe
counting,one-cup,igikombe kimwe
counting,one-child,umwana umwe
counting,one-bread,umukate umwe
counting,two-eggs,amagi abiri
counting,two-cows,inka zibiri
counting,two-cups,ibikombe bibiri
counting,two-children,abana babiri
counting,two-breads,imikate ibiri
counting,three-eggs,amagi atatu
counting,three-cows,inka zitatu
counting,three-cups,ibikombe bitatu
counting,three-children,abana batatu
counting,three-breads,imikate itatu
counting,four-eggs,amagi ane
counting,four-cows,inka zine
counting,four-cups,ibikombe bine
counting,four-children,abana bane
counting,four-breads,imikate ine
counting,five-eggs,amagi atanu
counting,five-cows,inka zitanu
counting,five-cups,ibikombe bitanu
counting,five-children,abana batanu
counting,five-breads,imikate itanu
actions,walk,petero ariko aratambuka
actions,run,jiriberi ariko ariruka
actions,jump,petero ariko arasimba
actions,eat,matayo ariko arafungura
actions,drink,yohani ariko aranywa
actions,sleep,rusiya araryamye
actions,sit,petero aricaye
actions,stand,masabo arahagaze
actions,dance,buname ariko aratamba
actions,sing,gatore ariko araririmba
actions,read,ciza ariko arasoma
actions,draw,buname ariko aracapa
actions,play,karire ariko arakina
actions,cook,mamawacu ariko arateka
actions,cry,wakana ariko ararira
actions,laugh,bucumi ariko aratwenga
actions,clap,petero ariko arakoma amashi
